"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2023&end=2024&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat May 17 2025 17:01:09 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"Connecticut : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CT-99.A",5,5
"Connecticut : other","thousand megawatthours","ELEC.GEN.OTH-CT-99.A",429,424
"Connecticut : all solar","thousand megawatthours","ELEC.GEN.TSN-CT-99.A",1659,1962
"Connecticut : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CT-99.A",1238,1461
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-99.A",421,501
"Maine",,"ELEC.GEN..A",,
"Maine : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ME-99.A",12512,13758
"Maine : coal","thousand megawatthours","ELEC.GEN.COW-ME-99.A",43,29
"Maine : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ME-99.A",67,61
"Maine : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ME-99.A","--","--"
"Maine : natural gas","thousand megawatthours","ELEC.GEN.NG-ME-99.A",3975,4182
"Maine : other gases","thousand megawatthours","ELEC.GEN.OOG-ME-99.A","--","--"
"Maine : nuclear","thousand megawatthours","ELEC.GEN.NUC-ME-99.A","--","--"
"Maine : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ME-99.A",3832,3781
"Maine : other renewables",,"ELEC.GEN.AOR-ME-99.A",,
"Maine : wind","thousand megawatthours","ELEC.GEN.WND-ME-99.A",2339,2832
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-99.A",523,1077
"Maine : geothermal","thousand megawatthours","ELEC.GEN.GEO-ME-99.A","--","--"
"Maine : biomass","thousand megawatthours","ELEC.GEN.BIO-ME-99.A",1458,1510
"Maine : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-ME-99.A",1388,1437
"Maine : other biomass","thousand megawatthours","ELEC.GEN.WAS-ME-99.A",70,73
"Maine : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ME-99.A","--","--"
"Maine : other","thousand megawatthours","ELEC.GEN.OTH-ME-99.A",276,286
"Maine : all solar","thousand megawatthours","ELEC.GEN.TSN-ME-99.A",1152,2092
"Maine : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ME-99.A",629,1015
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-99.A",523,1077
"Massachusetts",,"ELEC.GEN..A",,
"Massachusetts : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MA-99.A",19696,20591
"Massachusetts : coal","thousand megawatthours","ELEC.GEN.COW-MA-99.A",0,0
"Massachusetts : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MA-99.A",97,190
"Massachusetts : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MA-99.A","--","--"
"Massachusetts : natural gas","thousand megawatthours","ELEC.GEN.NG-MA-99.A",14774,15372
"Massachusetts : other gases","thousand megawatthours","ELEC.GEN.OOG-MA-99.A","--","--"
"Massachusetts : nuclear","thousand megawatthours","ELEC.GEN.NUC-MA-99.A","--","--"
